"vanus";"pikkus";"kaal";"sugu"
"394";0,484399468696534;64;7,4;"N"
"395";0,894816813580073;79,5;11,4;"M"
"396";1,04895876440145;81;12;"M"
"397";0,0411;60;5,2;"M"
"399";0,268900559556806;66;7,1;"M"
"402";0,509650211325051;72;10,3;"M"
"403";0,736923413971705;75;11,1;"M"
"405";0,80964356577822;78;11,8;"M"
"406";1,06545234128454;81;12,6;"M"
"407";0,914318666945481;83;13;"M"
"408";0,0805397513570599;57;5,3;"M"
"409";0,307372995431803;62;8;"M"
"410";0,398164580431611;71;9,8;"M"
"411";0,680160075086968;74,5;12;"M"
"412";1,49249033420837;88;13,7;"M"
"413";1,56877959253009;88;14;"M"
"414";1,81416768393906;90,5;15;"M"
"415";0,0965062584970622;57;4,7;"N"
"416";0,176288971469504;60;5,9;"N"
"417";0,369600322935177;66;7,1;"N"
"418";0,350346851502197;66,5;7,2;"N"
"419";0,340918594871005;69;8,1;"N"
"421";0,748935869057008;74;9,9;"N"
"422";0,833308329182356;75;10,2;"N"
"423";0,975136854537362;80;10,7;"N"
"424";1,07417176178578;81;10,8;"N"
"425";2,04101844138703;92;14,5;"N"
"427";0,193449433502876;57;6,1;"M"
"429";0,492861194140688;63;7,4;"M"
"430";0,421409479753796;65;8;"M"
"431";0,527969933719692;66;8,6;"M"
"432";0,279708171191601;59,5;5,4;"M"
"433";1,32398334631778;79;13,8;"M"
"434";1,10858842819742;79;12,3;"M"
"435";0,99354462931173;78,5;12,5;"M"
"436";0,743512955356933;75;11,6;"M"
"437";0,47500405007006;69,5;10;"M"
"438";0,255900566643863;63;8,1;"M"
"439";0,914517799122066;78;10,2;"N"
"441";0,489542064707811;71;7,7;"N"
"442";0,787068718901868;75;9,9;"N"
"443";0,756634707688622;75;8,8;"N"
"444";0,0411;55,4;4,3;"N"
"445";0,308548950980451;69;7,5;"N"
"446";0,317816579568295;65;6,6;"N"
"448";0,0789854388701315;58,9;5;"N"
"449";0,0813256028642564;54,5;5,4;"N"
"450";0,219919534081175;59;6,1;"N"
"451";0,370760302177212;60,5;7,1;"N"
"452";0,514421204114518;65;9;"N"
"454";0,184769234076018;61;5;"N"
"455";0,329764105488743;62,5;6,4;"N"
"456";0,417414107027071;66,5;7;"N"
"457";0,598007086274762;69;8,3;"N"
"460";0,208612458730093;55,5;5,1;"N"
"461";0,218421502534941;59,5;5,8;"N"
"462";0,503641014081153;60,6;6,3;"N"
"463";0,556536605263493;63;7,1;"N"
"466";0,849532285339464;71;9,4;"N"
"467";1,09951692539105;74;10,8;"N"
"471";1,86315297949546;83;10,9;"N"
